"","user_id","sex","age","resident","kirby1","kirby2","kirby3","kirby4","kirby5","kirby6","kirby7","kirby8","kirby9"
"285",38997,-0.5,24.574374599173,"GB",0,0,0,1,0,1,0,1,1
"286",39015,0.5,24.0534972831803,"US",0,0,0,0,0,0,0,1,1
"287",39041,-0.5,24.2686422615251,"AU",0,0,0,0,0,1,1,1,1
"288",39049,-0.5,24.279965681438,"GB",0,0,0,0,0,0,0,1,1
"289",39050,0.5,25.8539210493289,"CA",1,1,1,1,1,1,1,1,1
"290",39058,-0.5,24.2912891013509,"DE",0,1,0,0,0,1,1,1,1
"291",39070,-0.5,24.1327612225705,"US",0,0,0,0,0,0,0,1,1
"292",39074,0.5,24.381876460654,"ID",0,0,0,0,0,0,1,1,1
"293",39077,0.5,24.7329024779534,"IN",0,0,0,0,0,1,1,1,1
"294",39080,0.5,25.1858392744688,"GB",0,0,0,0,0,0,0,1,1
"295",39097,0.5,23.985556763703,"CA",0,0,0,0,0,0,0,0,0
"296",39098,-0.5,23.1929173698011,"IT",1,1,1,1,1,1,1,1,1
"297",39117,-0.5,24.1327612225705,"AT",0,0,0,0,0,0,0,0,1
"298",39121,-0.5,23.5212965472747,"US",0,0,0,0,0,1,1,1,1
"299",39131,-0.5,24.574374599173,"CH",0,0,0,1,0,1,1,1,1
"300",39156,-0.5,24.5404043394343,"US",0,0,0,1,0,1,1,1,1
"301",39158,0.5,26.0350957679351,"US",0,0,0,0,0,1,0,1,1
"302",39204,0.5,23.793058625184,"IL",0,0,0,0,0,1,0,1,1
"303",39220,0.5,23.6685010061422,"SK",0,0,0,0,0,1,0,1,1
"304",39224,-0.5,24.676285378389,"US",0,0,0,0,0,0,0,1,1
"305",39232,0.5,24.0421738632674,"DE",0,0,0,0,0,0,0,1,0
"306",39255,0.5,24.3931998805668,"DE",0,0,0,0,1,1,1,1,1
"307",39262,-0.5,23.8043820450968,"CA",0,0,0,1,1,1,1,1,1
"308",39280,-0.5,23.6118839065778,"UA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",39281,0.5,24.279965681438,"GB",0,0,0,1,1,1,1,1,1
"310",39291,0.5,25.1405455948172,"US",0,0,0,0,0,0,0,1,1
"311",39298,0.5,24.5177574996086,"BR",0,0,0,0,0,1,0,1,1
"312",39299,0.5,24.7329024779534,"GB",0,0,0,0,0,0,0,1,1
"313",39308,0.5,24.8348132571693,"US",0,0,0,0,0,1,1,1,1
"314",39318,-0.5,23.5099731273619,"CA",0,0,0,0,0,0,0,1,1
"315",39328,-0.5,24.4611404000441,"CA",0,0,0,0,0,0,0,1,1
"316",39354,-0.5,23.6571775862294,"GB",0,0,0,0,0,0,1,1,1
"317",39368,0.5,25.0159879757755,"GB",0,0,0,0,0,0,1,1,1
"318",39369,-0.5,24.4271701403055,"US",0,0,0,1,1,1,1,1,1
"319",39372,0.5,23.0117426511949,"FR",0,0,0,0,1,1,0,1,1
"320",39375,-0.5,23.6798244260551,"FR",0,0,0,0,0,0,0,1,1
"321",39379,-0.5,23.4873262875361,"FR",NA,NA,NA,NA,NA,NA,NA,0,NA
"322",39381,-0.5,23.3627686684944,"CA",0,0,0,1,0,1,1,1,1
"323",39382,0.5,23.7704117853582,"ZA",0,0,0,0,0,0,0,0,1
"324",39403,-0.5,24.6423151186503,"DE",0,0,0,1,1,1,1,1,1
"325",39404,0.5,NA,"US",0,0,0,1,1,1,1,1,1
"326",39407,-0.5,23.4420326078846,"US",0,0,0,0,0,0,0,1,1
"327",39420,-0.5,26.7824414821855,"US",0,0,0,0,0,0,0,1,1
"328",39423,0.5,NA,"US",0,0,0,0,0,1,1,1,1
"329",39432,-0.5,23.4080623481459,"US",0,0,0,0,0,1,1,1,1
"330",39439,-0.5,24.3252593610895,"US",0,0,0,1,1,1,1,1,1
"331",39444,-0.5,25.8992147289805,"US",0,0,0,0,0,0,1,1,1
"332",39463,-0.5,25.2198095342074,"GB",0,0,0,0,0,1,1,1,1
"333",39469,0.5,25.8312742095032,"US",0,0,0,0,0,1,1,1,1
"334",39489,0.5,23.5552668070134,"DE",0,0,0,1,0,1,1,1,1
"335",39494,0.5,23.5326199671876,"DE",0,0,0,0,0,1,1,1,1
"336",39497,-0.5,24.4045233004797,"DE",0,0,0,0,0,0,0,0,1
"337",39498,-0.5,24.0534972831803,"US",0,0,0,0,0,0,1,1,1
"338",39527,-0.5,24.472463819957,"GB",0,0,0,0,0,1,1,1,1
"339",39537,-0.5,26.1596533869768,"US",0,0,0,0,0,1,0,1,1
"340",39547,-0.5,23.691147845968,"PL",0,0,0,0,0,0,0,1,1
"341",39557,-0.5,23.3854155083201,"US",0,0,0,0,0,1,1,1,1
